miRNA	Calu3_smallRNA-S1-4h-A	Calu3_smallRNA-S1-4h-B	Calu3_smallRNA-S1-12h-A	Calu3_smallRNA-S1-12h-B	Calu3_smallRNA-S1-24h-A	Calu3_smallRNA-S1-24h-B	Calu3_smallRNA-S2-4h-A	Calu3_smallRNA-S2-4h-B	Calu3_smallRNA-S2-12h-A	Calu3_smallRNA-S2-12h-B	Calu3_smallRNA-S2-24h-A	Calu3_smallRNA-S2-24h-B	Calu3_smallRNA-mock-4h-A	Calu3_smallRNA-mock-4h-B	Calu3_smallRNA-mock-24h-A	Calu3_smallRNA-mock-24h-B	Calu3_smallRNA-untr-4h-A	Calu3_smallRNA-untr-4h-B
hsa-miR-10401-3p	0	1	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0
hsa-miR-10523-5p	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1
hsa-miR-10524-5p	18	13	6	17	12	8	8	5	6	5	4	6	15	18	5	12	19	15
hsa-miR-10527-5p	0	4	1	0	0	0	0	4	0	0	1	2	2	0	2	0	2	0
hsa-miR-106a-3p	0	2	0	5	1	3	0	1	1	0	0	0	8	2	0	2	0	4
hsa-miR-106a-5p	50	101	55	91	54	28	32	65	61	38	60	49	119	78	24	29	116	71
hsa-miR-106b-3p	359	470	267	566	274	190	242	437	250	194	305	265	478	421	197	265	510	402
hsa-miR-106b-5p	15	36	20	31	32	11	8	28	21	12	20	19	84	27	16	16	31	24
hsa-miR-107	125	231	121	261	185	97	122	212	204	102	170	145	241	162	41	67	277	176
hsa-miR-10a-3p	139	186	111	171	92	86	74	149	66	69	96	86	222	220	79	128	187	142
hsa-miR-10a-5p	3367	3621	2131	3751	2042	798	1300	1559	1089	1565	1663	972	3936	5119	2199	1645	4665	4007
hsa-miR-10b-5p	3	9	3	5	3	1	4	1	1	0	1	0	0	1	1	0	2	2
hsa-miR-1178-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1179	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2
hsa-miR-1180-3p	2	5	4	5	1	1	1	2	2	1	1	2	6	2	1	2	10	1
hsa-miR-1180-5p	2	7	4	10	0	1	8	7	2	2	1	5	10	6	4	5	9	5
hsa-miR-1185-1-3p	1	4	2	3	1	1	2	3	1	1	0	2	4	1	2	0	3	0
hsa-miR-1185-2-3p	1	1	2	1	0	0	2	1	0	0	0	0	5	1	0	1	1	0
hsa-miR-1185-5p	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2
hsa-miR-1197	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0
hsa-miR-1207-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12114	1	1	0	3	0	1	0	0	0	1	0	1	4	1	1	0	1	2
hsa-miR-12116	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12117	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-12125	6	10	2	9	6	4	2	4	1	7	9	9	12	15	3	4	8	7
hsa-miR-12132	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12133	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
hsa-miR-12136	85	141	59	121	143	116	71	114	73	56	257	244	175	165	45	81	147	115
hsa-miR-122-3p	0	6	1	4	0	1	0	6	0	2	3	0	2	5	0	0	1	1
hsa-miR-122-5p	45	57	16	57	26	7	18	27	9	14	16	21	35	58	12	22	51	28
hsa-miR-1224-3p	1	4	3	3	4	2	3	1	1	1	2	0	2	5	0	1	3	1
hsa-miR-1224-5p	6	5	1	1	5	2	3	3	2	1	1	2	1	7	1	2	3	3
hsa-miR-1225-3p	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2
hsa-miR-1226-3p	280	319	178	359	192	123	203	254	177	142	246	209	429	347	165	226	393	280
hsa-miR-1226-5p	13	7	6	15	5	4	5	10	3	2	3	4	12	11	1	4	7	9
hsa-miR-1227-3p	67	73	38	57	27	39	29	39	25	32	47	35	45	49	27	52	42	40
hsa-miR-1228-3p	8	11	2	6	4	3	5	7	8	5	4	5	11	8	3	12	14	3
hsa-miR-1228-5p	1	7	4	4	2	1	3	5	1	1	5	1	3	5	2	1	5	3
hsa-miR-1229-3p	810	854	522	962	553	418	525	719	352	469	653	594	777	842	377	433	920	484
hsa-miR-1229-5p	6	6	0	11	1	3	2	4	4	2	5	3	3	4	3	0	1	4
hsa-miR-122b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-1231	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-1233-3p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-5p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1234-3p	1	4	0	2	0	0	1	1	5	1	2	0	0	2	0	1	4	0
hsa-miR-1236-3p	6	6	7	15	5	10	3	13	3	7	7	9	4	11	5	10	13	7
hsa-miR-1236-5p	10	12	11	12	7	8	11	7	5	6	12	12	18	6	6	1	17	5
hsa-miR-1237-3p	3	9	5	5	3	2	3	2	4	0	8	1	1	3	2	1	8	3
hsa-miR-1237-5p	0	1	1	3	0	2	0	6	3	0	1	1	1	1	0	2	0	1
hsa-miR-124-3p	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1246	15	21	30	36	25	30	16	24	7	12	21	33	10	11	7	24	22	15
hsa-miR-1247-3p	23	37	14	18	12	6	18	22	8	4	12	5	28	24	1	4	28	16
hsa-miR-1247-5p	262	339	206	374	182	145	171	318	201	148	220	194	349	280	103	137	486	220
hsa-miR-1248	4	5	8	19	13	1	3	6	6	7	10	6	9	10	1	2	8	3
hsa-miR-1249-3p	21	7	6	16	9	5	9	17	4	4	5	2	17	17	10	7	34	11
hsa-miR-1249-5p	2	2	1	3	0	0	0	4	0	0	1	1	3	3	2	0	0	0
hsa-miR-1252-3p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-1255a	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0
hsa-miR-1255b-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-1256	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0
hsa-miR-1257	2	1	0	1	0	0	0	1	1	0	0	3	2	1	1	0	1	0
hsa-miR-1258	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-125a-3p	122	182	69	190	91	78	82	158	95	66	100	78	160	145	53	81	180	115
hsa-miR-125a-5p	17950	20709	10556	25139	11171	4737	10309	17396	9914	9342	12204	9235	32629	26798	9713	7211	26187	21441
hsa-miR-125b-1-3p	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-125b-2-3p	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-125b-5p	54	91	53	105	50	38	34	76	55	32	73	86	112	86	20	30	110	58
hsa-miR-126-3p	5	3	1	11	1	4	2	3	4	1	3	0	10	8	4	3	12	7
hsa-miR-126-5p	58	68	42	70	50	18	18	27	14	13	25	11	68	97	24	38	99	62
hsa-miR-1260a	3	4	4	3	6	4	2	2	2	1	4	8	1	3	2	1	3	1
hsa-miR-1260b	20	17	14	23	18	23	14	13	7	8	24	18	12	27	12	16	29	12
hsa-miR-1262	11	9	3	7	3	4	6	7	3	3	5	7	15	7	4	4	6	5
hsa-miR-1266-3p	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0
hsa-miR-1266-5p	2	0	2	3	0	0	0	2	0	0	1	0	1	4	0	0	1	0
hsa-miR-1267	0	0	1	3	0	0	0	1	4	1	0	1	1	2	0	0	2	0
hsa-miR-1268a	5	4	2	6	4	4	11	5	1	0	2	3	4	3	6	3	2	0
hsa-miR-1268b	3	2	1	4	2	2	6	3	1	0	2	2	2	2	3	3	2	0
hsa-miR-127-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1270	17	12	4	18	6	4	9	18	10	7	9	12	30	13	10	7	7	11
hsa-miR-1271-5p	8	14	5	18	9	7	11	19	7	3	6	9	20	11	3	4	13	15
hsa-miR-1273c	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0
hsa-miR-1275	53	49	47	61	23	37	46	71	34	16	24	23	68	53	30	46	54	29
hsa-miR-1276	2	1	0	0	0	0	0	2	0	0	0	0	4	1	3	0	0	1
hsa-miR-1277-3p	4	2	0	2	0	0	0	0	0	0	0	0	2	5	0	0	1	0
hsa-miR-1277-5p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1278	0	3	0	1	0	0	0	1	1	0	0	0	1	2	0	0	3	2
hsa-miR-128-1-5p	0	6	4	4	4	1	3	1	1	2	0	6	5	5	0	5	9	7
hsa-miR-128-3p	617	782	440	896	455	300	415	625	316	357	446	471	1621	919	375	479	882	812
hsa-miR-1281	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1283	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1284	0	0	2	0	1	0	0	0	0	1	0	0	2	0	0	1	1	1
hsa-miR-1285-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
hsa-miR-1285-5p	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1
hsa-miR-1286	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-1287-3p	0	0	1	2	0	0	1	0	1	0	1	0	0	2	0	1	1	1
hsa-miR-1287-5p	1	7	1	8	1	1	2	1	3	1	2	3	3	3	0	1	4	4
hsa-miR-1288-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-129-1-3p	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1
hsa-miR-129-2-3p	0	0	1	0	0	0	1	0	0	1	0	1	4	0	0	0	0	0
hsa-miR-129-5p	4	8	2	6	4	6	6	6	6	0	2	0	12	6	2	0	8	4
hsa-miR-1290	5	4	2	7	3	3	4	6	1	1	9	7	3	3	1	4	1	1
hsa-miR-1291	1	1	0	1	0	0	0	1	1	0	0	1	4	1	0	0	0	2
hsa-miR-1292-3p	4	5	4	6	1	1	1	3	2	1	1	0	8	3	0	0	5	5
hsa-miR-1292-5p	9	7	9	12	5	2	4	17	5	5	13	4	7	13	6	3	18	11
hsa-miR-1293	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1294	0	3	3	3	4	1	0	3	1	2	0	1	2	3	0	2	2	2
hsa-miR-1296-3p	2	4	1	5	6	0	0	2	1	2	12	13	7	1	3	4	2	0
hsa-miR-1296-5p	51	60	39	62	29	31	36	69	35	32	27	20	58	57	34	38	67	35
hsa-miR-1301-3p	13	25	8	15	12	2	13	16	11	8	4	7	25	16	7	5	24	13
hsa-miR-1301-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-1303	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
hsa-miR-1304-3p	1	5	0	4	0	0	0	2	0	0	3	0	2	5	0	1	5	3
hsa-miR-1304-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1306-3p	4	3	2	4	2	2	3	3	1	2	2	6	5	8	4	4	8	4
hsa-miR-1306-5p	132	162	89	168	115	70	70	126	57	84	125	99	143	176	83	76	155	156
hsa-miR-1307-3p	402	562	273	637	334	223	310	614	368	210	353	334	564	438	186	275	642	430
hsa-miR-1307-5p	2	3	5	4	4	1	3	3	3	3	3	1	7	6	3	3	5	4
hsa-miR-130a-3p	182	481	148	415	264	142	150	468	340	124	219	299	500	262	80	135	419	342
hsa-miR-130a-5p	1	1	1	1	1	0	0	1	0	0	0	1	0	2	0	1	0	0
hsa-miR-130b-3p	725	1167	542	1186	757	438	623	1067	542	435	677	714	1120	1069	354	461	1228	888
hsa-miR-130b-5p	948	1072	628	1217	651	357	643	741	376	506	732	458	680	1059	434	533	915	536
hsa-miR-132-3p	25	33	22	47	31	9	17	17	10	12	16	11	52	49	18	11	43	35
hsa-miR-132-5p	1	0	0	0	3	0	0	1	1	0	1	3	1	3	0	1	0	0
hsa-miR-1323	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-134-3p	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-134-5p	28	41	12	29	27	8	19	20	18	8	29	13	49	28	10	11	35	39
hsa-miR-1343-3p	23	31	23	28	13	8	13	32	14	19	14	12	30	24	10	15	34	14
hsa-miR-1343-5p	3	8	2	8	5	6	1	1	1	0	3	1	10	11	4	3	4	6
hsa-miR-135a-5p	18	24	12	12	4	2	4	0	6	4	4	2	38	26	6	10	38	14
hsa-miR-135b-3p	17	10	7	22	6	5	5	9	4	2	3	2	71	15	8	7	20	30
hsa-miR-135b-5p	478	474	342	528	379	98	184	199	169	193	206	139	4402	1008	386	282	1367	2215
hsa-miR-136-5p	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-137-3p	7	8	4	5	3	0	1	4	1	2	3	2	36	8	2	5	13	11
hsa-miR-137-5p	0	0	0	1	2	0	1	0	1	0	1	1	0	2	0	0	0	1
hsa-miR-138-1-3p	3	8	6	7	4	3	3	1	4	4	2	2	5	6	2	2	11	10
hsa-miR-138-2-3p	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-5p	38	74	19	76	39	6	27	65	48	30	26	62	110	40	12	25	81	50
hsa-miR-139-3p	0	0	1	1	3	0	1	1	1	2	1	1	2	2	1	0	0	1
hsa-miR-139-5p	11	22	9	26	12	5	17	26	12	8	18	11	38	23	5	2	35	19
hsa-miR-140-3p	50	61	35	97	69	14	39	68	51	36	38	53	89	64	21	30	101	65
hsa-miR-140-5p	29	26	15	40	21	15	14	19	14	10	12	15	98	25	17	12	25	34
hsa-miR-141-3p	276	451	179	541	255	111	198	457	288	147	216	262	2396	455	142	145	644	874
hsa-miR-141-5p	15	15	10	21	21	7	18	22	8	8	12	6	39	24	4	13	18	11
hsa-miR-142-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-142-5p	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
hsa-miR-143-3p	3	5	2	1	2	1	3	1	0	2	0	1	3	2	1	0	3	2
hsa-miR-144-5p	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
hsa-miR-145-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-145-5p	0	3	0	0	0	0	0	2	0	0	0	0	2	2	1	0	1	1
hsa-miR-1468-5p	8	2	3	8	2	3	2	3	2	4	1	1	10	5	3	2	7	2
hsa-miR-1469	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
hsa-miR-146a-3p	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-146a-5p	551	623	468	1064	727	329	372	516	300	332	493	420	1270	898	262	253	758	778
hsa-miR-146b-3p	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	2	0
hsa-miR-146b-5p	279	309	216	480	270	107	193	295	155	188	240	161	696	486	167	116	482	453
hsa-miR-147b-3p	1	1	5	2	6	4	0	4	2	1	3	4	18	3	1	1	3	6
hsa-miR-147b-5p	0	3	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1
hsa-miR-148a-3p	19	26	14	21	10	5	7	17	8	6	17	7	165	32	8	10	62	59
hsa-miR-148a-5p	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0
hsa-miR-148b-3p	131	161	76	197	84	50	80	148	103	75	90	53	460	151	54	58	218	128
hsa-miR-148b-5p	4	8	4	11	4	2	1	6	4	1	1	5	12	6	3	5	8	4
hsa-miR-149-3p	9	13	7	14	1	2	8	6	1	4	0	2	7	7	4	3	6	11
hsa-miR-149-5p	120	145	95	173	67	47	72	148	89	57	73	52	292	108	55	78	194	128
hsa-miR-150-5p	1	2	1	2	3	1	0	1	1	0	1	3	4	2	0	1	6	1
hsa-miR-151a-3p	6734	7981	5783	8369	5896	2613	3181	3453	2304	4067	4682	2522	8060	10107	4880	5751	9953	8336
hsa-miR-151a-5p	29	53	29	50	31	9	35	49	27	14	34	19	112	51	14	13	74	44
hsa-miR-151b	27	50	25	50	30	10	32	46	25	13	31	18	100	46	15	17	66	41
hsa-miR-152-3p	7	8	4	7	4	4	3	7	0	4	4	6	9	11	3	2	7	5
hsa-miR-152-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
hsa-miR-153-3p	4	2	0	8	4	0	0	2	2	2	4	0	12	6	0	2	4	14
hsa-miR-1538	2	1	1	0	1	0	3	0	0	0	0	0	5	0	1	0	1	3
hsa-miR-1539	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-154-3p	0	3	0	3	2	3	0	2	0	0	0	1	4	2	0	0	6	1
hsa-miR-154-5p	3	18	3	2	5	1	2	8	3	3	2	3	4	2	0	4	8	4
hsa-miR-155-3p	41	39	253	418	481	174	14	21	134	292	280	131	30	69	14	19	57	41
hsa-miR-155-5p	32	34	16	45	44	25	13	29	32	26	82	56	47	38	19	15	46	39
hsa-miR-15a-3p	8	19	9	30	12	2	9	24	14	9	9	13	18	17	7	11	25	17
hsa-miR-15a-5p	22	27	16	37	18	7	11	20	9	15	18	11	61	18	8	11	40	34
hsa-miR-15b-3p	1058	1179	819	1510	916	434	517	737	447	555	716	475	2682	1726	786	875	1661	1989
hsa-miR-15b-5p	1486	2261	1085	2439	1208	600	763	1291	808	578	921	745	4728	2460	1118	1189	4784	3107
hsa-miR-16-1-3p	0	1	1	1	1	0	0	1	0	0	0	0	2	1	2	1	1	0
hsa-miR-16-2-3p	537	564	452	698	559	284	248	369	209	250	344	281	840	925	428	526	821	891
hsa-miR-16-5p	3206	3449	2116	4666	2447	969	1378	2081	1580	1397	1876	1439	16336	5116	2217	1501	7094	7980
hsa-miR-17-3p	23	60	30	70	31	26	31	53	32	30	46	34	62	45	19	11	65	40
hsa-miR-17-5p	488	916	443	1071	494	223	352	638	578	366	520	465	1366	732	207	214	907	646
hsa-miR-181a-2-3p	22	27	12	24	11	5	5	21	11	15	14	8	68	30	11	11	42	27
hsa-miR-181a-3p	7	16	7	8	6	4	2	12	4	3	4	7	10	10	2	3	11	10
hsa-miR-181a-5p	2138	2936	1288	3494	1232	726	1712	3329	1892	1248	1754	1374	3862	2844	921	830	3670	2122
hsa-miR-181b-2-3p	19	20	14	21	11	7	4	5	2	6	9	10	39	19	11	16	23	22
hsa-miR-181b-3p	23	22	19	29	24	15	9	23	7	13	7	8	92	35	14	20	34	69
hsa-miR-181b-5p	953	1280	682	1629	1039	435	596	1180	970	480	787	733	2207	1234	433	452	1451	1136
hsa-miR-181c-3p	2	2	0	1	1	0	0	0	3	1	5	2	1	2	0	1	2	4
hsa-miR-181c-5p	41	51	28	78	28	15	36	54	33	22	43	29	70	58	16	9	68	46
hsa-miR-181d-3p	2	0	0	4	1	2	0	3	1	0	1	0	1	0	0	0	0	0
hsa-miR-181d-5p	16	21	12	26	15	6	3	19	12	9	12	12	24	20	4	5	30	16
hsa-miR-182-3p	3	3	2	7	2	2	3	5	4	5	3	1	7	5	3	6	4	3
hsa-miR-182-5p	274	272	120	387	180	86	191	318	153	118	222	194	456	372	119	63	362	241
hsa-miR-1827	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0
hsa-miR-183-3p	14	17	8	10	11	5	8	14	7	5	9	6	41	16	4	14	17	21
hsa-miR-183-5p	4862	5457	2916	6293	2987	1239	2628	3833	1968	2839	3161	2142	4319	6276	2282	1890	5331	3508
hsa-miR-184	2	3	3	5	1	3	1	4	1	2	0	3	2	6	3	3	5	1
hsa-miR-1843	3	5	7	2	3	1	5	4	3	3	4	6	10	8	0	0	9	6
hsa-miR-185-3p	14	10	12	16	7	7	11	13	9	8	10	13	9	12	7	6	18	9
hsa-miR-185-5p	274	462	249	484	295	210	211	344	232	196	235	264	471	445	159	228	488	330
hsa-miR-186-3p	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0
hsa-miR-186-5p	294	417	194	501	302	107	192	383	265	196	256	247	2366	495	159	151	580	774
hsa-miR-187-3p	1	3	3	1	1	0	0	2	1	2	0	0	4	1	1	0	1	3
hsa-miR-188-3p	7	13	3	11	15	5	2	8	4	3	10	6	11	5	3	1	12	4
hsa-miR-188-5p	25	45	30	62	39	18	21	47	17	27	25	35	66	47	13	29	42	41
hsa-miR-18a-3p	50	49	24	75	54	27	31	63	33	30	48	37	108	65	37	34	89	73
hsa-miR-18a-5p	17	38	9	38	22	10	5	13	20	6	9	13	208	15	2	4	52	41
hsa-miR-18b-3p	0	2	0	2	1	0	1	2	3	0	2	1	3	2	1	0	1	1
hsa-miR-18b-5p	1	5	1	3	4	2	1	0	4	1	3	3	28	1	2	0	4	2
hsa-miR-1908-3p	4	3	3	1	1	2	1	4	1	2	0	0	2	2	3	9	3	3
hsa-miR-1908-5p	98	138	70	141	71	55	75	148	79	71	55	74	167	117	54	85	150	98
hsa-miR-1909-3p	0	2	0	1	0	0	0	0	1	0	0	0	0	1	1	0	2	0
hsa-miR-1909-5p	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0
hsa-miR-190a-3p	2	2	3	0	1	0	0	0	0	0	1	0	7	4	0	1	2	5
hsa-miR-190a-5p	6	3	4	12	3	1	1	8	1	4	5	2	20	17	6	3	3	15
hsa-miR-190b-3p	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-190b-5p	10	10	4	17	5	4	6	10	3	9	1	3	13	12	7	1	5	17
hsa-miR-191-3p	11	11	3	19	4	0	10	9	1	3	3	1	8	9	4	4	17	8
hsa-miR-191-5p	6386	8543	4295	9979	4181	2243	4579	7665	4213	4026	5071	4321	12646	9298	2910	2559	9720	6930
hsa-miR-1910-3p	0	1	3	2	1	0	0	0	0	0	1	1	1	1	0	0	0	1
hsa-miR-1910-5p	8	5	2	8	1	2	5	7	4	1	3	2	7	10	5	1	3	5
hsa-miR-1911-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-1913	2	1	0	2	0	2	0	1	1	0	1	1	2	2	4	0	1	2
hsa-miR-1914-3p	1	1	3	2	1	2	1	1	3	2	0	3	5	3	3	1	4	1
hsa-miR-1914-5p	5	12	2	13	4	4	6	12	4	1	6	3	9	5	6	9	9	4
